iter	MultiClass
0	1.608229134
1	1.607040097
2	1.605834994
3	1.604617944
4	1.603414952
5	1.602243513
6	1.601063286
7	1.599861818
8	1.598657016
9	1.597481868
10	1.596258799
11	1.59508635
12	1.593907357
13	1.592703991
14	1.591462689
15	1.590301391
16	1.589157866
17	1.587956869
18	1.586753291
19	1.585636748
20	1.584434199
21	1.58322914
22	1.582068699
23	1.580867808
24	1.579691618
25	1.578514493
26	1.577327315
27	1.57622159
28	1.575097219
29	1.573921635
30	1.572773169
31	1.571688194
32	1.570577764
33	1.569427327
34	1.568270592
35	1.567183487
36	1.566088331
37	1.564995802
38	1.563828333
39	1.562699451
40	1.561630738
41	1.560511648
42	1.559410032
43	1.558285793
44	1.557139993
45	1.556069623
46	1.554928955
47	1.553831764
48	1.552722533
49	1.5516171
50	1.550507207
51	1.54939136
52	1.548286178
53	1.547196253
54	1.546122999
55	1.545051798
56	1.544021141
57	1.542976107
58	1.541899227
59	1.540819184
60	1.539729419
61	1.538668606
62	1.537591715
63	1.536513305
64	1.535458131
65	1.534409624
66	1.533346931
67	1.532336231
68	1.5312963
69	1.530240389
70	1.529234865
71	1.528158298
72	1.527118798
73	1.526131789
74	1.525098938
75	1.524080164
76	1.523051575
77	1.522004916
78	1.520982299
79	1.519961094
80	1.518932919
81	1.51790909
82	1.516863424
83	1.515840699
84	1.514809592
85	1.513853438
86	1.512845306
87	1.511819966
88	1.51085507
89	1.509881974
90	1.508938508
91	1.507935514
92	1.506958246
93	1.506008492
94	1.505071861
95	1.504073999
96	1.503110348
97	1.502140712
98	1.501144865
99	1.500161041
100	1.499190555
101	1.498207077
102	1.497244676
103	1.496276072
104	1.495288645
105	1.494330248
106	1.493383564
107	1.49244298
108	1.491482005
109	1.49057153
110	1.489637446
111	1.488678974
112	1.487713967
113	1.486765418
114	1.485870522
115	1.484984107
116	1.484095364
117	1.483200837
118	1.482293753
119	1.48137108
120	1.480422607
121	1.479471156
122	1.478547265
123	1.47772086
124	1.47680758
125	1.475898141
126	1.474989743
